booking_date,booking_date_month,client_code,service_code,service_desc,staff,price,canceled_yes_no
4/3/2018,April,YATT01,SHCM,Men's hair cut,BECKY,30,0
4/3/2018,April,NICP01,SHCM,Men's hair cut,BECKY,30,0
4/3/2018,April,DANJ01,SBD,Blowdry,SINEAD,30,0
4/3/2018,April,WONM02,SBD,Blowdry,JJ,32,0
4/3/2018,April,THOW01,SBD,Blowdry,JJ,32,0
4/3/2018,April,DOWR01,SHCW,Women's hair cut,BECKY,60,0
4/3/2018,April,HILJ01,CFC,Color full color,KELLY,63.13,1
4/3/2018,April,BOSJ01,SHCW,Women's hair cut,SINEAD,70,0
4/3/2018,April,LINJ01,SHCW,Women's hair cut,JJ,82,0
4/3/2018,April,BREH01,SHCW,Women's hair cut,JJ,82,0
4/3/2018,April,KOOM01,SHCW,Women's hair cut,JJ,88.44,1
4/3/2018,April,SKUD01,SBD5+1,Blow dry bundle 5+1,BECKY,230,0
4/3/2018,April,WONM02,SBD,Blowdry,JJ,44.55,1
4/4/2018,April,COLJ01,SHCM,Men's hair cut,JJ,40,0
4/4/2018,April,SLUS01,SHCM,Men's hair cut,JJ,40,0
4/4/2018,April,SARA01,SHCM,Men's hair cut,JJ,40,0
4/4/2018,April,MARG01,SHCM,Men's hair cut,JJ,40,0
4/4/2018,April,SCHH01,SBD,Blowdry,SINEAD,40,0
4/4/2018,April,WOOD01,CTU,Color touch up,KELLY,55,0
4/4/2018,April,BALJ01,SHCW,Women's hair cut,SINEAD,70,0
4/4/2018,April,KEN*01,SHCW,Women's hair cut,SINEAD,70,0
4/4/2018,April,WOOD01,SHCW,Women's hair cut,JJ,92,0
4/4/2018,April,STRH01,CHLFH,Highlights full,KELLY,120,1
4/4/2018,April,SCHH01,CHLFH,Highlights full,KELLY,120,0
4/4/2018,April,SARA01,CBAL,Balayage,KELLY,155.56,1
4/5/2018,April,TINT01,SHCM,Men's hair cut,BECKY,30,0
4/5/2018,April,SUPR01,SHCM,Men's hair cut,BECKY,30,0
4/5/2018,April,BREM01,SHCM,Men's hair cut,SINEAD,35,0
4/5/2018,April,PIPJ01,SHCM,Men's hair cut,JJ,40,0
4/5/2018,April,LYNG01,SHCM,Men's hair cut,JJ,40,0
4/5/2018,April,HOLL01,CTU,Color touch up,KELLY,55,0
4/5/2018,April,DANJ02,SHCW,Women's hair cut,BECKY,60,0
4/5/2018,April,SCHJ01,SHCM,Men's hair cut,JJ,60,0
4/5/2018,April,COOM01,SHCW,Women's hair cut,SINEAD,70,0
4/5/2018,April,HOLL01,SHCW,Women's hair cut,SINEAD,80,0
4/5/2018,April,JASA01,SHCW,Women's hair cut,JJ,82,0
4/5/2018,April,VERM01,SHCW,Women's hair cut,JJ,82,0
4/5/2018,April,JARS01,SHCW,Women's hair cut,JJ,82,0
4/5/2018,April,SHIG01,SHCW,Women's hair cut,JJ,92,0
4/5/2018,April,SHIG01,CHLPL,Highlights partial,KELLY,100,0
4/5/2018,April,HILJ01,SBD5+1,Blow dry bundle 5+1,SINEAD,230,0
4/6/2018,April,KLEA01,SHCM,Men's hair cut,BECKY,30,0
4/6/2018,April,HELJ01,SHCM,Men's hair cut,BECKY,30,0
4/6/2018,April,NORE01,SBD,Blowdry,BECKY,30,0
4/6/2018,April,LEEP01,SHCM,Men's hair cut,JJ,40,0
4/6/2018,April,PLUJ01,SHCM,Men's hair cut,JJ,40,0
4/6/2018,April,THOW02,SHCM,Men's hair cut,JJ,40,0
4/6/2018,April,WAX*01,SHCM,Men's hair cut,JJ,40,0
4/6/2018,April,MCLI01,SHCM,Men's hair cut,JJ,40,0
4/6/2018,April,MORB01,SBD,Blowdry,BECKY,40,0
4/6/2018,April,BROS01,SHCW,Women's hair cut,BECKY,60,0
4/6/2018,April,KULR01,SHCW,Women's hair cut,BECKY,60,0
4/6/2018,April,MORB01,CFC,Color full color,KELLY,70,0
4/6/2018,April,SINM01,SHCW,Women's hair cut,JJ,82,0
4/6/2018,April,NGUS01,CALC,Accent lights and color,KELLY,90,0
4/7/2018,April,STOD01,SHCM,Men's hair cut,BECKY,30,0
4/7/2018,April,SINT01,SHCC,Children (under 12),BECKY,30,0
4/7/2018,April,SINW01,SHCC,Children (under 12),JJ,32,0
4/7/2018,April,WILK01,SBD,Blowdry,JJ,42,0
4/7/2018,April,SENM01,SHCW,Women's hair cut,BECKY,60,0
4/7/2018,April,WANM01,SHCW,Women's hair cut,BECKY,60,0
4/7/2018,April,BLAJ01,SHCW,Women's hair cut,SINEAD,65,0
4/7/2018,April,JOHJ01,SHCW,Women's hair cut,SINEAD,70,0
4/7/2018,April,KENH01,SHCW,Women's hair cut,SINEAD,70,0
4/7/2018,April,CAYK01,SHCW,Women's hair cut,BECKY,70,0
4/7/2018,April,CAYK01,CFC,Color full color,KELLY,70,0
4/7/2018,April,GALG01,SHCW,Women's hair cut,JJ,82,0
4/7/2018,April,DOLD01,SHCW,Women's hair cut,JJ,82,0
4/7/2018,April,KURG01,SHCW,Women's hair cut,JJ,82,0
4/7/2018,April,WILK01,CHLPHC,Partial highlights and color,KELLY,120,0
4/8/2018,April,CHAG01,SHCM,Men's hair cut,BECKY,30,0
4/8/2018,April,SCHJ03,SBD,Blowdry,BECKY,30,0
4/8/2018,April,DOWR01,SBD,Blowdry,BECKY,50,0
4/8/2018,April,TOPS01,SHCW,Women's hair cut,BECKY,60,0
4/8/2018,April,HUDM01,SHCW,Women's hair cut,JJ,88.44,1
4/10/2018,April,MCCB01,SHCM,Men's hair cut,BECKY,30,0
4/10/2018,April,IRWE01,SHCM,Men's hair cut,SINEAD,45,0
4/10/2018,April,IRWE01,CTU,Color touch up,KELLY,55,0
4/10/2018,April,MARD01,SHCW,Women's hair cut,BECKY,60,0
4/10/2018,April,LANS01,SHCW,Women's hair cut,BECKY,60,0
4/10/2018,April,SIDA01,SHCW,Women's hair cut,BECKY,60,0
4/10/2018,April,CARB01,SHCW,Women's hair cut,BECKY,60,0
4/10/2018,April,KOOM01,SHCW,Women's hair cut,JJ,82,0
4/10/2018,April,BOWM01,SHCW,Women's hair cut,JJ,82,0
4/10/2018,April,SAMB01,SHCW,Women's hair cut,JJ,82,0
4/10/2018,April,KRIA01,SHCW,Women's hair cut,JJ,82,0
4/10/2018,April,CULT01,CON,Consultation,SINEAD,8.33,1
4/10/2018,April,PUGS01,CON,Consultation,JJ,0,1
4/11/2018,April,VAUD01,SBD,Blowdry,JJ,32,0
4/11/2018,April,POOD01,SHCM,Men's hair cut,SINEAD,35,0
4/11/2018,April,TRAJ01,SHCM,Men's hair cut,JJ,40,0
4/11/2018,April,DOWR01,SBD,Blowdry,SINEAD,45.11,1
4/11/2018,April,HILJ01,SBD,Blowdry,SINEAD,45.11,1
4/11/2018,April,POTR01,SHCM,Men's hair cut,JJ,60,0
4/11/2018,April,BROA01,SHCW,Women's hair cut,SINEAD,70,0
4/11/2018,April,GREN01,SHCW,Women's hair cut,SINEAD,70,0
4/11/2018,April,DACJ01,SHCW,Women's hair cut,SINEAD,70,0
4/11/2018,April,RUTA01,CALC,Accent lights and color,KELLY,80,0
4/11/2018,April,GARJ01,SHCW,Women's hair cut,JJ,82,0
4/11/2018,April,SPRK01,SHCW,Women's hair cut,JJ,82,0
4/11/2018,April,KIMF01,SHCW,Women's hair cut,JJ,82,0
4/11/2018,April,ARRM01,SHCW,Women's hair cut,JJ,82,0
4/11/2018,April,HENI01,SHCW,Women's hair cut,JJ,82,0
4/11/2018,April,RUTA01,SHCW,Women's hair cut,JJ,92,0
4/11/2018,April,HOLL01,SBD5+1,Blow dry bundle 5+1,HOUSE,225,0
4/11/2018,April,KUKK01,CON,Consultation,SINEAD,8.33,1
4/12/2018,April,STEB01,SHCM,Men's hair cut,BECKY,30,0
4/12/2018,April,GUBD01,SHCM,Men's hair cut,JJ,40,0
4/12/2018,April,ESKR01,SHCW,Women's hair cut,JJ,82,0
4/12/2018,April,BOWV01,SHCW,Women's hair cut,JJ,82,0
4/12/2018,April,JIAL01,SHCW,Women's hair cut,JJ,82,0
4/12/2018,April,PIVS01,SHCW,Women's hair cut,JJ,82,0
4/13/2018,April,MERM01,SHCM,Men's hair cut,BECKY,30,0
4/13/2018,April,SIRM01,SBD,Blowdry,BECKY,30,0
4/13/2018,April,BYRP01,SBD,Blowdry,BECKY,30,0
4/13/2018,April,HILJ01,SBD,Blowdry,BECKY,50,0
4/13/2018,April,DUFD01,SHCM,Men's hair cut,JJ,60,0
4/13/2018,April,THOD01,SHCM,Men's hair cut,JJ,60,0
4/13/2018,April,CHOC01,SHCW,Women's hair cut,BECKY,67.84,1
4/13/2018,April,ALLM01,SHCW,Women's hair cut,JJ,82,0
4/13/2018,April,ROSL01,SHCW,Women's hair cut,JJ,82,0
4/13/2018,April,MOLA01,SHCW,Women's hair cut,JJ,82,0
4/13/2018,April,NORJ01,SHCW,Women's hair cut,JJ,88.44,1
4/14/2018,April,WOOJ01,SBD,Blowdry,JJ,32,0
4/14/2018,April,LEEN01,SHCC,Children (under 12),BECKY,50,0
4/14/2018,April,SKUD01,SBD,Blowdry,BECKY,50,0
4/14/2018,April,BONT01,SHCW,Women's hair cut,BECKY,60,0
4/14/2018,April,SAVP01,SHCW,Women's hair cut,JJ,82,0
4/14/2018,April,STOK01,SHCW,Women's hair cut,JJ,82,0
4/14/2018,April,SHAG01,SHCW,Women's hair cut,JJ,82,0
4/16/2018,April,BLAR01,SHCW,Women's hair cut,BECKY,60,0
4/17/2018,April,HUYK01,SBD,Blowdry,BECKY,30,0
4/17/2018,April,COLC01,SBD,Blowdry,BECKY,30,0
4/17/2018,April,HOG*01,SHCM,Men's hair cut,SINEAD,35,0
4/17/2018,April,JONC01,SHCM,Men's hair cut,SINEAD,35,0
4/17/2018,April,LEEM01,CTU,Color touch up,KELLY,55,0
4/17/2018,April,STEA01,SHCW,Women's hair cut,BECKY,60,0
4/17/2018,April,GOUE01,SHCW,Women's hair cut,BECKY,60,0
4/17/2018,April,ROWD01,SHCW,Women's hair cut,BECKY,60,0
4/17/2018,April,MANL01,SHCW,Women's hair cut,SINEAD,70,0
4/17/2018,April,WEIA01,SHCW,Women's hair cut,JJ,82,0
4/17/2018,April,LEEM01,SHCW,Women's hair cut,JJ,92,0
4/17/2018,April,BROS01,SBD5+1,Blow dry bundle 5+1,HOUSE,230,0
4/18/2018,April,WELL01,SBD,Blowdry,SINEAD,30,0
4/18/2018,April,MILE01,SHCW,Women's hair cut,SINEAD,70,0
4/18/2018,April,DAVA01,SHCW,Women's hair cut,JJ,82,0
4/18/2018,April,SORM01,SHCW,Women's hair cut,JJ,92,0
4/18/2018,April,SORM01,CHLPL,Highlights partial,KELLY,100,0
4/18/2018,April,KUKK01,SBD5+1,Blow dry bundle 5+1,HOUSE,250,0
4/18/2018,April,PHIC01,SHCW,Women's hair cut,SINEAD,74.67,1
4/19/2018,April,ZUKS01,SHCM,Men's hair cut,BECKY,30,0
4/19/2018,April,RABH01,SHCC,Children (under 12),BECKY,30,0
4/19/2018,April,MAKM01,SHCM,Men's hair cut,SINEAD,35,0
4/19/2018,April,BUDG02,SHCM,Men's hair cut,SINEAD,35,0
4/19/2018,April,JOHD01,SHCM,Men's hair cut,SINEAD,35,0
4/19/2018,April,SCHH01,SBD,Blowdry,BECKY,50,0
4/19/2018,April,HOLL01,SBD,Blowdry,SINEAD,50,0
4/19/2018,April,KEIS01,SHCW,Women's hair cut,BECKY,60,0
4/19/2018,April,LUL01,SHCW,Women's hair cut,BECKY,60,0
4/19/2018,April,GRIA01,SHCW,Women's hair cut,SINEAD,70,0
4/19/2018,April,MCGV01,SHCW,Women's hair cut,SINEAD,70,0
4/19/2018,April,BROT01,SHCW,Women's hair cut,SINEAD,70,0
4/19/2018,April,JARM01,SHCW,Women's hair cut,JJ,82,0
4/19/2018,April,TOHS01,SHCW,Women's hair cut,JJ,82,0
4/19/2018,April,COAA01,SHCW,Women's hair cut,JJ,82,0
4/19/2018,April,VAUD01,SHCW,Women's hair cut,JJ,102,0
4/19/2018,April,CASH01,CON,Consultation,JJ,0,1
4/19/2018,April,DODK01,CON,Consultation,SINEAD,8.33,1
4/20/2018,April,SHIG01,CON,Consultation,BECKY,0,0
4/20/2018,April,FINW01,SHCM,Men's hair cut,BECKY,30,0
4/20/2018,April,HUDM01,SBD,Blowdry,BECKY,30,0
4/20/2018,April,FOXS01,SBD,Blowdry,JJ,32,0
4/20/2018,April,BARW01,SHCM,Men's hair cut,JJ,40,0
4/20/2018,April,OHAG01,SHCM,Men's hair cut,JJ,40,0
4/20/2018,April,WARG01,SBD,Blowdry,JJ,52,0
4/20/2018,April,SEDD01,SHCW,Women's hair cut,BECKY,60,0
4/20/2018,April,SCOL01,SHCW,Women's hair cut,BECKY,60,0
4/20/2018,April,KINN01,SHCW,Women's hair cut,JJ,82,0
4/20/2018,April,NICM01,SHCW,Women's hair cut,JJ,82,0
4/20/2018,April,KOSI01,SHCW,Women's hair cut,JJ,82,0
4/20/2018,April,MOLA01,SHCW,Women's hair cut,JJ,88.44,1
4/21/2018,April,BARA01,TRE 1,Treatments 1,SINEAD,20,0
4/21/2018,April,DELC01,SHCM,Men's hair cut,BECKY,30,0
4/21/2018,April,BARA01,SBD,Blowdry,SINEAD,30,0
4/21/2018,April,NIDN01,SBD,Blowdry,JJ,32,0
4/21/2018,April,MCND01,SHCM,Men's hair cut,SINEAD,35,0
4/21/2018,April,SHAA01,SHCM,Men's hair cut,SINEAD,35,0
4/21/2018,April,BUDG02,SHCM,Men's hair cut,SINEAD,41.41,1
4/21/2018,April,HILJ01,SBD,Blowdry,SINEAD,50,0
4/21/2018,April,HEIM01,SHCW,Women's hair cut,BECKY,60,0
4/21/2018,April,STEI01,SHCW,Women's hair cut,BECKY,60,0
4/21/2018,April,STEM01,SHCW,Women's hair cut,BECKY,60,0
4/21/2018,April,WILB01,SDUD,Dry updo,BECKY,60,0
4/21/2018,April,STEM01,SHCW,Women's hair cut,BECKY,67.84,1
4/21/2018,April,RICP01,SHCW,Women's hair cut,SINEAD,70,0
4/21/2018,April,NEML01,SHCW,Women's hair cut,SINEAD,70,0
4/21/2018,April,LEIF01,SHCW,Women's hair cut,SINEAD,70,0
4/21/2018,April,ALIR01,SDUD,Dry updo,JJ,82,0
4/21/2018,April,RUTR01,SHCW,Women's hair cut,JJ,102,0
4/21/2018,April,CORS01,SHCW,Women's hair cut,JJ,102,0
4/22/2018,April,APTM01,SHCM,Men's hair cut,JJ,30,0
4/22/2018,April,FRAW01,SHCM,Men's hair cut,BECKY,30,0
4/22/2018,April,COLS01,SBD,Blowdry,BECKY,45.26,1
4/22/2018,April,SKUT01,SHCW,Women's hair cut,BECKY,60,0
4/22/2018,April,BAIL01,SHCW,Women's hair cut,BECKY,60,0
4/22/2018,April,SARK01,SHCW,Women's hair cut,JJ,82,0
4/22/2018,April,WONM02,SBD5+1,Blow dry bundle 5+1,HOUSE,260,0
4/24/2018,April,OWED01,SHCM,Men's hair cut,SINEAD,35,0
4/24/2018,April,HENB01,SHCM,Men's hair cut,JJ,40,0
4/24/2018,April,BEAL01,SHCC,Children (under 12),SINEAD,45,0
4/24/2018,April,BEAA01,SHCC,Children (under 12),SINEAD,45,0
4/24/2018,April,SCHJ01,CCAMO,Men's camo color,JJ,45,0
4/24/2018,April,BREF01,SHCM,Men's hair cut,JJ,49.48,1
4/24/2018,April,SKUD01,SBD,Blowdry,BECKY,50,0
4/24/2018,April,MCKT01,SHCW,Women's hair cut,BECKY,60,0
4/24/2018,April,SCHJ01,SHCM,Men's hair cut,JJ,60,0
4/24/2018,April,BERI01,SHCM,Men's hair cut,JJ,60,0
4/24/2018,April,KATM01,SHCW,Women's hair cut,JJ,82,0
4/24/2018,April,LEVL01,SHCW,Women's hair cut,JJ,82,0
4/25/2018,April,ZUGL01,SBD,Blowdry,SINEAD,30,0
4/25/2018,April,WRI*01,SHCM,Men's hair cut,SINEAD,35,0
4/25/2018,April,SLUS01,SHCM,Men's hair cut,JJ,40,0
4/25/2018,April,STOV01,SHCM,Men's hair cut,JJ,40,0
4/25/2018,April,BOYL01,CMT,Color mini touch up,SINEAD,45,0
4/25/2018,April,ROLD01,SHCM,Men's hair cut,JJ,49.48,1
4/25/2018,April,BOYL01,SHCW,Women's hair cut,SINEAD,70,0
4/25/2018,April,YOUS01,SHCW,Women's hair cut,SINEAD,70,0
4/25/2018,April,HILE01,SHCW,Women's hair cut,JJ,82,0
4/25/2018,April,MCGA01,SHCW,Women's hair cut,JJ,82,0
4/25/2018,April,RUTM01,SHCW,Women's hair cut,JJ,82,0
4/26/2018,April,RODP01,TRE 1,Treatments 1,SINEAD,20,0
4/26/2018,April,COLR01,SHCM,Men's hair cut,BECKY,30,0
4/26/2018,April,RODP01,SBD,Blowdry,SINEAD,30,0
4/26/2018,April,MOYJ01,SHCM,Men's hair cut,JJ,40,0
4/26/2018,April,BANR01,SBD,Blowdry,BECKY,40,0
4/26/2018,April,KUKK01,SBD,Blowdry,SINEAD,45.11,1
4/26/2018,April,BUSM01,SBD,Blowdry,SINEAD,45.11,1
4/26/2018,April,NIES02,SHCM,Men's hair cut,JJ,49.48,1
4/26/2018,April,HOLL01,SBD,Blowdry,SINEAD,50,0
4/26/2018,April,BROS01,SBD,Blowdry,BECKY,50,0
4/26/2018,April,MOIB01,CTU,Color touch up,KELLY,52.5,1
4/26/2018,April,BANR01,CTU,Color touch up,BECKY,55,0
4/26/2018,April,GALB01,SHCM,Men's hair cut,JJ,60,0
4/26/2018,April,MOIB01,SHCW,Women's hair cut,SINEAD,70,0
4/26/2018,April,BUSM01,SHCW,Women's hair cut,SINEAD,70,0
4/26/2018,April,SMIC01,SHCW,Women's hair cut,SINEAD,70,0
4/26/2018,April,GREM01,SHCW,Women's hair cut,JJ,82,0
4/26/2018,April,GELK01,SHCW,Women's hair cut,JJ,82,0
4/26/2018,April,COLG01,SHCW,Women's hair cut,JJ,82,0
4/26/2018,April,CARC01,SHCW,Women's hair cut,JJ,82,0
4/27/2018,April,REIM01,SHCM,Men's hair cut,BECKY,30,0
4/27/2018,April,ARMG01,SBD,Blowdry,BECKY,30,0
4/27/2018,April,OZIS01,SBD,Blowdry,BECKY,30,0
4/27/2018,April,LEWH01,SBD,Blowdry,JJ,32,0
4/27/2018,April,GRET01,SHCM,Men's hair cut,JJ,40,0
4/27/2018,April,HARW01,SHCM,Men's hair cut,JJ,40,0
4/27/2018,April,YATT01,SHCM,Men's hair cut,BECKY,50,0
4/27/2018,April,KLEA01,SHCM,Men's hair cut,BECKY,50,0
4/27/2018,April,RANZ01,SHCW,Women's hair cut,BECKY,60,0
4/27/2018,April,MUMK01,SHCW,Women's hair cut,JJ,75,0
4/27/2018,April,KM01,SHCW,Women's hair cut,JJ,82,0
4/27/2018,April,LINM02,SHCW,Women's hair cut,JJ,82,0
4/27/2018,April,TINA01,SHCW,Women's hair cut,JJ,82,0
4/27/2018,April,CHEW01,SHCW,Women's hair cut,JJ,102,0
4/27/2018,April,GOSD01,SHCW,Women's hair cut,JJ,102,0
4/27/2018,April,SIRM01,SBD5+1,Blow dry bundle 5+1,HOUSE,250,0
4/27/2018,April,CARC01,CON,Consultation,JJ,0,1
4/28/2018,April,CULT01,CON,Consultation,SINEAD,0,0
4/28/2018,April,MCGA02,SHCM,Men's hair cut,SINEAD,35,0
4/28/2018,April,BISJ01,SBD,Blowdry,JJ,44.55,1
4/28/2018,April,TAYE01,SHCM,Men's hair cut,JJ,49.48,1
4/28/2018,April,RODP01,SBD,Blowdry,SINEAD,50,0
4/28/2018,April,WOOJ01,SBD,Blowdry,SINEAD,50,0
4/28/2018,April,WONM02,SBD,Blowdry,JJ,52,0
4/28/2018,April,ROGE01,SHCW,Women's hair cut,SINEAD,70,0
4/28/2018,April,PHIJ01,SHCW,Women's hair cut,SINEAD,70,0
4/28/2018,April,WINL01,SHCW,Women's hair cut,SINEAD,70,0
4/28/2018,April,LEGL01,SHCW,Women's hair cut,SINEAD,74.67,1
4/28/2018,April,MACB01,SHCW,Women's hair cut,JJ,82,0
4/28/2018,April,WHIA01,SHCW,Women's hair cut,JJ,82,0
4/28/2018,April,HOS01,SHCW,Women's hair cut,JJ,82,0
4/28/2018,April,HUDM01,SHCW,Women's hair cut,JJ,102,0
4/29/2018,April,WAGL01,SHCW,Women's hair cut,JJ,82,0
4/29/2018,April,ZHIJ01,SHCW,Women's hair cut,JJ,82,0
5/1/2018,May,FLAD01,SHCM,Men's hair cut,SINEAD,35,0
5/1/2018,May,GRIP01,SHCM,Men's hair cut,SINEAD,35,0
5/1/2018,May,LEHJ01,SHCM,Men's hair cut,JJ,50,0
5/1/2018,May,HILJ01,SBD,Blowdry,BECKY,50,0
5/1/2018,May,BROS01,SBD,Blowdry,BECKY,50,0
5/1/2018,May,CYRA01,SHCW,Women's hair cut,BECKY,60,0
5/1/2018,May,TAYE01,SHCM,Men's hair cut,JJ,60,0
5/1/2018,May,KERT01,CALC,Accent lights and color,JJ,70,0
5/1/2018,May,ALVJ01,SHCW,Women's hair cut,JJ,82,0
5/1/2018,May,FLEB01,SHCW,Women's hair cut,JJ,82,0
5/1/2018,May,KERT01,SHCW,Women's hair cut,JJ,102,0
5/2/2018,May,NELT01,SBD,Blowdry,SINEAD,30,0
5/2/2018,May,DENB01,SHCM,Men's hair cut,SINEAD,35,0
5/2/2018,May,RODP01,SBD,Blowdry,SINEAD,50,0
5/2/2018,May,KINN01,SBD,Blowdry,JJ,52,0
5/2/2018,May,POTR01,SHCM,Men's hair cut,JJ,60,0
5/2/2018,May,MARA01,SHCW,Women's hair cut,SINEAD,70,0
5/2/2018,May,ATKN01,SHCW,Women's hair cut,JJ,82,0
5/2/2018,May,LEEV01,SHCW,Women's hair cut,JJ,82,0
5/3/2018,May,SPIJ01,SHCM,Men's hair cut,BECKY,30,0
5/3/2018,May,BRAN01,SHCM,Men's hair cut,SINEAD,35,0
5/3/2018,May,NIES02,SHCM,Men's hair cut,JJ,40,0
5/3/2018,May,TSAR01,SHCM,Men's hair cut,JJ,40,0
5/3/2018,May,NEEL01,CTU,Color touch up,JJ,40,0
5/3/2018,May,GUYD01,CCAMO,Men's camo color,BECKY,40,1
5/3/2018,May,GUYD01,SHCM,Men's hair cut,BECKY,41.15,1
5/3/2018,May,HOLL01,SBD,Blowdry,SINEAD,45,0
5/3/2018,May,NELT01,SBD,Blowdry,SINEAD,45.11,1
5/3/2018,May,NIDN01,SBD,Blowdry,SINEAD,50,0
5/3/2018,May,SKUD01,SBD,Blowdry,BECKY,50,0
5/3/2018,May,BREM01,SHCM,Men's hair cut,SINEAD,55,0
5/3/2018,May,BHAJ01,SHCW,Women's hair cut,BECKY,60,0
5/3/2018,May,MESN01,SHCW,Women's hair cut,BECKY,60,0
5/3/2018,May,LYNG01,SHCM,Men's hair cut,JJ,60,0
5/3/2018,May,MARR01,SHCW,Women's hair cut,SINEAD,70,0
5/3/2018,May,LEFN01,SHCW,Women's hair cut,JJ,82,0
5/3/2018,May,BRIK01,SHCW,Women's hair cut,JJ,82,0
5/3/2018,May,WOOD02,SHCW,Women's hair cut,JJ,82,0
5/3/2018,May,HENI01,SHCW,Women's hair cut,JJ,88.44,1
5/3/2018,May,NEEL01,SHCW,Women's hair cut,JJ,92,0
5/4/2018,May,PLUJ01,CCAMO,Men's camo color,JJ,25,0
5/4/2018,May,COLR02,SHCM,Men's hair cut,BECKY,30,0
5/4/2018,May,ZIMJ01,SHCM,Men's hair cut,BECKY,30,0
5/4/2018,May,ALIR02,SBD,Blowdry,BECKY,30,0
5/4/2018,May,CAND01,CCAMO,Men's camo color,JJ,32.08,1
5/4/2018,May,GUYD01,CCAMO,Men's camo color,BECKY,35,0
5/4/2018,May,COLE01,SHCM,Men's hair cut,JJ,40,0
5/4/2018,May,COLB01,SHCM,Men's hair cut,JJ,40,0
