booking_date,booking_date_raw,booking_date_month,client_code,service_code,service_desc,staff,price,canceled_yes_no
2018-04-03,20180403,April,WONM02,SBD,Blowdry,JJ,44.55,1
2018-04-04,20180404,April,COLJ01,SHCM,Men's hair cut,JJ,40,0
2018-04-04,20180404,April,SLUS01,SHCM,Men's hair cut,JJ,40,0
2018-04-04,20180404,April,SARA01,SHCM,Men's hair cut,JJ,40,0
2018-04-04,20180404,April,MARG01,SHCM,Men's hair cut,JJ,40,0
2018-04-04,20180404,April,SCHH01,SBD,Blowdry,SINEAD,40,0
2018-04-04,20180404,April,WOOD01,CTU,Color touch up,KELLY,55,0
2018-04-04,20180404,April,BALJ01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-04,20180404,April,KEN*01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-04,20180404,April,WOOD01,SHCW,Women's hair cut,JJ,92,0
2018-04-04,20180404,April,STRH01,CHLFH,Highlights full,KELLY,120,1
2018-04-04,20180404,April,SCHH01,CHLFH,Highlights full,KELLY,120,0
2018-04-04,20180404,April,SARA01,CBAL,Balayage,KELLY,155.56,1
2018-04-05,20180405,April,TINT01,SHCM,Men's hair cut,BECKY,30,0
2018-04-05,20180405,April,SUPR01,SHCM,Men's hair cut,BECKY,30,0
2018-04-05,20180405,April,BREM01,SHCM,Men's hair cut,SINEAD,35,0
2018-04-05,20180405,April,PIPJ01,SHCM,Men's hair cut,JJ,40,0
2018-04-05,20180405,April,LYNG01,SHCM,Men's hair cut,JJ,40,0
2018-04-05,20180405,April,HOLL01,CTU,Color touch up,KELLY,55,0
2018-04-05,20180405,April,DANJ02,SHCW,Women's hair cut,BECKY,60,0
2018-04-05,20180405,April,SCHJ01,SHCM,Men's hair cut,JJ,60,0
2018-04-05,20180405,April,COOM01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-05,20180405,April,HOLL01,SHCW,Women's hair cut,SINEAD,80,0
2018-04-05,20180405,April,JASA01,SHCW,Women's hair cut,JJ,82,0
2018-04-05,20180405,April,VERM01,SHCW,Women's hair cut,JJ,82,0
2018-04-05,20180405,April,JARS01,SHCW,Women's hair cut,JJ,82,0
2018-04-05,20180405,April,SHIG01,SHCW,Women's hair cut,JJ,92,0
2018-04-05,20180405,April,SHIG01,CHLPL,Highlights partial,KELLY,100,0
2018-04-05,20180405,April,HILJ01,SBD5+1,Blow dry bundle 5+1,SINEAD,230,0
2018-04-06,20180406,April,KLEA01,SHCM,Men's hair cut,BECKY,30,0
2018-04-06,20180406,April,HELJ01,SHCM,Men's hair cut,BECKY,30,0
2018-04-06,20180406,April,NORE01,SBD,Blowdry,BECKY,30,0
2018-04-06,20180406,April,LEEP01,SHCM,Men's hair cut,JJ,40,0
2018-04-06,20180406,April,PLUJ01,SHCM,Men's hair cut,JJ,40,0
2018-04-06,20180406,April,THOW02,SHCM,Men's hair cut,JJ,40,0
2018-04-06,20180406,April,WAX*01,SHCM,Men's hair cut,JJ,40,0
2018-04-06,20180406,April,MCLI01,SHCM,Men's hair cut,JJ,40,0
2018-04-06,20180406,April,MORB01,SBD,Blowdry,BECKY,40,0
2018-04-06,20180406,April,BROS01,SHCW,Women's hair cut,BECKY,60,0
2018-04-06,20180406,April,KULR01,SHCW,Women's hair cut,BECKY,60,0
2018-04-06,20180406,April,MORB01,CFC,Color full color,KELLY,70,0
2018-04-06,20180406,April,SINM01,SHCW,Women's hair cut,JJ,82,0
2018-04-06,20180406,April,NGUS01,CALC,Accent lights and color,KELLY,90,0
2018-04-07,20180407,April,STOD01,SHCM,Men's hair cut,BECKY,30,0
2018-04-07,20180407,April,SINT01,SHCC,Children (under 12),BECKY,30,0
2018-04-07,20180407,April,SINW01,SHCC,Children (under 12),JJ,32,0
2018-04-07,20180407,April,WILK01,SBD,Blowdry,JJ,42,0
2018-04-07,20180407,April,SENM01,SHCW,Women's hair cut,BECKY,60,0
2018-04-07,20180407,April,WANM01,SHCW,Women's hair cut,BECKY,60,0
2018-04-07,20180407,April,BLAJ01,SHCW,Women's hair cut,SINEAD,65,0
2018-04-07,20180407,April,JOHJ01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-07,20180407,April,KENH01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-07,20180407,April,CAYK01,SHCW,Women's hair cut,BECKY,70,0
2018-04-07,20180407,April,CAYK01,CFC,Color full color,KELLY,70,0
2018-04-07,20180407,April,GALG01,SHCW,Women's hair cut,JJ,82,0
2018-04-07,20180407,April,DOLD01,SHCW,Women's hair cut,JJ,82,0
2018-04-07,20180407,April,KURG01,SHCW,Women's hair cut,JJ,82,0
2018-04-07,20180407,April,WILK01,CHLPHC,Partial highlights and color,KELLY,120,0
2018-04-08,20180408,April,CHAG01,SHCM,Men's hair cut,BECKY,30,0
2018-04-08,20180408,April,SCHJ03,SBD,Blowdry,BECKY,30,0
2018-04-08,20180408,April,DOWR01,SBD,Blowdry,BECKY,50,0
2018-04-08,20180408,April,TOPS01,SHCW,Women's hair cut,BECKY,60,0
2018-04-08,20180408,April,HUDM01,SHCW,Women's hair cut,JJ,88.44,1
2018-04-10,20180410,April,MCCB01,SHCM,Men's hair cut,BECKY,30,0
2018-04-10,20180410,April,IRWE01,SHCM,Men's hair cut,SINEAD,45,0
2018-04-10,20180410,April,IRWE01,CTU,Color touch up,KELLY,55,0
2018-04-10,20180410,April,MARD01,SHCW,Women's hair cut,BECKY,60,0
2018-04-10,20180410,April,LANS01,SHCW,Women's hair cut,BECKY,60,0
2018-04-10,20180410,April,SIDA01,SHCW,Women's hair cut,BECKY,60,0
2018-04-10,20180410,April,CARB01,SHCW,Women's hair cut,BECKY,60,0
2018-04-10,20180410,April,KOOM01,SHCW,Women's hair cut,JJ,82,0
2018-04-10,20180410,April,BOWM01,SHCW,Women's hair cut,JJ,82,0
2018-04-10,20180410,April,SAMB01,SHCW,Women's hair cut,JJ,82,0
2018-04-10,20180410,April,KRIA01,SHCW,Women's hair cut,JJ,82,0
2018-04-10,20180410,April,CULT01,CON,Consultation,SINEAD,8.33,1
2018-04-10,20180410,April,PUGS01,CON,Consultation,JJ,0,1
2018-04-11,20180411,April,VAUD01,SBD,Blowdry,JJ,32,0
2018-04-11,20180411,April,POOD01,SHCM,Men's hair cut,SINEAD,35,0
2018-04-11,20180411,April,TRAJ01,SHCM,Men's hair cut,JJ,40,0
2018-04-11,20180411,April,DOWR01,SBD,Blowdry,SINEAD,45.11,1
2018-04-11,20180411,April,HILJ01,SBD,Blowdry,SINEAD,45.11,1
2018-04-11,20180411,April,POTR01,SHCM,Men's hair cut,JJ,60,0
2018-04-11,20180411,April,BROA01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-11,20180411,April,GREN01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-11,20180411,April,DACJ01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-11,20180411,April,RUTA01,CALC,Accent lights and color,KELLY,80,0
2018-04-11,20180411,April,GARJ01,SHCW,Women's hair cut,JJ,82,0
2018-04-11,20180411,April,SPRK01,SHCW,Women's hair cut,JJ,82,0
2018-04-11,20180411,April,KIMF01,SHCW,Women's hair cut,JJ,82,0
2018-04-11,20180411,April,ARRM01,SHCW,Women's hair cut,JJ,82,0
2018-04-11,20180411,April,HENI01,SHCW,Women's hair cut,JJ,82,0
2018-04-11,20180411,April,RUTA01,SHCW,Women's hair cut,JJ,92,0
2018-04-11,20180411,April,HOLL01,SBD5+1,Blow dry bundle 5+1,HOUSE,225,0
2018-04-11,20180411,April,KUKK01,CON,Consultation,SINEAD,8.33,1
2018-04-12,20180412,April,STEB01,SHCM,Men's hair cut,BECKY,30,0
2018-04-12,20180412,April,GUBD01,SHCM,Men's hair cut,JJ,40,0
2018-04-12,20180412,April,ESKR01,SHCW,Women's hair cut,JJ,82,0
2018-04-12,20180412,April,BOWV01,SHCW,Women's hair cut,JJ,82,0
2018-04-12,20180412,April,JIAL01,SHCW,Women's hair cut,JJ,82,0
2018-04-12,20180412,April,PIVS01,SHCW,Women's hair cut,JJ,82,0
2018-04-13,20180413,April,MERM01,SHCM,Men's hair cut,BECKY,30,0
2018-04-13,20180413,April,SIRM01,SBD,Blowdry,BECKY,30,0
2018-04-13,20180413,April,BYRP01,SBD,Blowdry,BECKY,30,0
2018-04-13,20180413,April,HILJ01,SBD,Blowdry,BECKY,50,0
2018-04-13,20180413,April,DUFD01,SHCM,Men's hair cut,JJ,60,0
2018-04-13,20180413,April,THOD01,SHCM,Men's hair cut,JJ,60,0
2018-04-13,20180413,April,CHOC01,SHCW,Women's hair cut,BECKY,67.84,1
2018-04-13,20180413,April,ALLM01,SHCW,Women's hair cut,JJ,82,0
2018-04-13,20180413,April,ROSL01,SHCW,Women's hair cut,JJ,82,0
2018-04-13,20180413,April,MOLA01,SHCW,Women's hair cut,JJ,82,0
2018-04-13,20180413,April,NORJ01,SHCW,Women's hair cut,JJ,88.44,1
2018-04-14,20180414,April,WOOJ01,SBD,Blowdry,JJ,32,0
2018-04-14,20180414,April,LEEN01,SHCC,Children (under 12),BECKY,50,0
2018-04-14,20180414,April,SKUD01,SBD,Blowdry,BECKY,50,0
2018-04-14,20180414,April,BONT01,SHCW,Women's hair cut,BECKY,60,0
2018-04-14,20180414,April,SAVP01,SHCW,Women's hair cut,JJ,82,0
2018-04-14,20180414,April,STOK01,SHCW,Women's hair cut,JJ,82,0
2018-04-14,20180414,April,SHAG01,SHCW,Women's hair cut,JJ,82,0
2018-04-16,20180416,April,BLAR01,SHCW,Women's hair cut,BECKY,60,0
2018-04-17,20180417,April,HUYK01,SBD,Blowdry,BECKY,30,0
2018-04-17,20180417,April,COLC01,SBD,Blowdry,BECKY,30,0
2018-04-17,20180417,April,HOG*01,SHCM,Men's hair cut,SINEAD,35,0
2018-04-17,20180417,April,JONC01,SHCM,Men's hair cut,SINEAD,35,0
2018-04-17,20180417,April,LEEM01,CTU,Color touch up,KELLY,55,0
2018-04-17,20180417,April,STEA01,SHCW,Women's hair cut,BECKY,60,0
2018-04-17,20180417,April,GOUE01,SHCW,Women's hair cut,BECKY,60,0
2018-04-17,20180417,April,ROWD01,SHCW,Women's hair cut,BECKY,60,0
2018-04-17,20180417,April,MANL01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-17,20180417,April,WEIA01,SHCW,Women's hair cut,JJ,82,0
2018-04-17,20180417,April,LEEM01,SHCW,Women's hair cut,JJ,92,0
2018-04-17,20180417,April,BROS01,SBD5+1,Blow dry bundle 5+1,HOUSE,230,0
2018-04-18,20180418,April,WELL01,SBD,Blowdry,SINEAD,30,0
2018-04-18,20180418,April,MILE01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-18,20180418,April,DAVA01,SHCW,Women's hair cut,JJ,82,0
2018-04-18,20180418,April,SORM01,SHCW,Women's hair cut,JJ,92,0
2018-04-18,20180418,April,SORM01,CHLPL,Highlights partial,KELLY,100,0
2018-04-18,20180418,April,KUKK01,SBD5+1,Blow dry bundle 5+1,HOUSE,250,0
2018-04-18,20180418,April,PHIC01,SHCW,Women's hair cut,SINEAD,74.67,1
2018-04-19,20180419,April,ZUKS01,SHCM,Men's hair cut,BECKY,30,0
2018-04-19,20180419,April,RABH01,SHCC,Children (under 12),BECKY,30,0
2018-04-19,20180419,April,MAKM01,SHCM,Men's hair cut,SINEAD,35,0
2018-04-19,20180419,April,BUDG02,SHCM,Men's hair cut,SINEAD,35,0
2018-04-19,20180419,April,JOHD01,SHCM,Men's hair cut,SINEAD,35,0
2018-04-19,20180419,April,SCHH01,SBD,Blowdry,BECKY,50,0
2018-04-19,20180419,April,HOLL01,SBD,Blowdry,SINEAD,50,0
2018-04-19,20180419,April,KEIS01,SHCW,Women's hair cut,BECKY,60,0
2018-04-19,20180419,April,LUL01,SHCW,Women's hair cut,BECKY,60,0
2018-04-19,20180419,April,GRIA01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-19,20180419,April,MCGV01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-19,20180419,April,BROT01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-19,20180419,April,JARM01,SHCW,Women's hair cut,JJ,82,0
2018-04-19,20180419,April,TOHS01,SHCW,Women's hair cut,JJ,82,0
2018-04-19,20180419,April,COAA01,SHCW,Women's hair cut,JJ,82,0
2018-04-19,20180419,April,VAUD01,SHCW,Women's hair cut,JJ,102,0
2018-04-19,20180419,April,CASH01,CON,Consultation,JJ,0,1
2018-04-19,20180419,April,DODK01,CON,Consultation,SINEAD,8.33,1
2018-04-20,20180420,April,SHIG01,CON,Consultation,BECKY,0,0
2018-04-20,20180420,April,FINW01,SHCM,Men's hair cut,BECKY,30,0
2018-04-20,20180420,April,HUDM01,SBD,Blowdry,BECKY,30,0
2018-04-20,20180420,April,FOXS01,SBD,Blowdry,JJ,32,0
2018-04-20,20180420,April,BARW01,SHCM,Men's hair cut,JJ,40,0
2018-04-20,20180420,April,OHAG01,SHCM,Men's hair cut,JJ,40,0
2018-04-20,20180420,April,WARG01,SBD,Blowdry,JJ,52,0
2018-04-20,20180420,April,SEDD01,SHCW,Women's hair cut,BECKY,60,0
2018-04-20,20180420,April,SCOL01,SHCW,Women's hair cut,BECKY,60,0
2018-04-20,20180420,April,KINN01,SHCW,Women's hair cut,JJ,82,0
2018-04-20,20180420,April,NICM01,SHCW,Women's hair cut,JJ,82,0
2018-04-20,20180420,April,KOSI01,SHCW,Women's hair cut,JJ,82,0
2018-04-20,20180420,April,MOLA01,SHCW,Women's hair cut,JJ,88.44,1
2018-04-21,20180421,April,BARA01,TRE 1,Treatments 1,SINEAD,20,0
2018-04-21,20180421,April,DELC01,SHCM,Men's hair cut,BECKY,30,0
2018-04-21,20180421,April,BARA01,SBD,Blowdry,SINEAD,30,0
2018-04-21,20180421,April,NIDN01,SBD,Blowdry,JJ,32,0
2018-04-21,20180421,April,MCND01,SHCM,Men's hair cut,SINEAD,35,0
2018-04-21,20180421,April,SHAA01,SHCM,Men's hair cut,SINEAD,35,0
2018-04-21,20180421,April,BUDG02,SHCM,Men's hair cut,SINEAD,41.41,1
2018-04-21,20180421,April,HILJ01,SBD,Blowdry,SINEAD,50,0
2018-04-21,20180421,April,HEIM01,SHCW,Women's hair cut,BECKY,60,0
2018-04-21,20180421,April,STEI01,SHCW,Women's hair cut,BECKY,60,0
2018-04-21,20180421,April,STEM01,SHCW,Women's hair cut,BECKY,60,0
2018-04-21,20180421,April,WILB01,SDUD,Dry updo,BECKY,60,0
2018-04-21,20180421,April,STEM01,SHCW,Women's hair cut,BECKY,67.84,1
2018-04-21,20180421,April,RICP01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-21,20180421,April,NEML01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-21,20180421,April,LEIF01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-21,20180421,April,ALIR01,SDUD,Dry updo,JJ,82,0
2018-04-21,20180421,April,RUTR01,SHCW,Women's hair cut,JJ,102,0
2018-04-21,20180421,April,CORS01,SHCW,Women's hair cut,JJ,102,0
2018-04-22,20180422,April,APTM01,SHCM,Men's hair cut,JJ,30,0
2018-04-22,20180422,April,FRAW01,SHCM,Men's hair cut,BECKY,30,0
2018-04-22,20180422,April,COLS01,SBD,Blowdry,BECKY,45.26,1
2018-04-22,20180422,April,SKUT01,SHCW,Women's hair cut,BECKY,60,0
2018-04-22,20180422,April,BAIL01,SHCW,Women's hair cut,BECKY,60,0
2018-04-22,20180422,April,SARK01,SHCW,Women's hair cut,JJ,82,0
2018-04-22,20180422,April,WONM02,SBD5+1,Blow dry bundle 5+1,HOUSE,260,0
2018-04-24,20180424,April,OWED01,SHCM,Men's hair cut,SINEAD,35,0
2018-04-24,20180424,April,HENB01,SHCM,Men's hair cut,JJ,40,0
2018-04-24,20180424,April,BEAL01,SHCC,Children (under 12),SINEAD,45,0
2018-04-24,20180424,April,BEAA01,SHCC,Children (under 12),SINEAD,45,0
2018-04-24,20180424,April,SCHJ01,CCAMO,Men's camo color,JJ,45,0
2018-04-24,20180424,April,BREF01,SHCM,Men's hair cut,JJ,49.48,1
2018-04-24,20180424,April,SKUD01,SBD,Blowdry,BECKY,50,0
2018-04-24,20180424,April,MCKT01,SHCW,Women's hair cut,BECKY,60,0
2018-04-24,20180424,April,SCHJ01,SHCM,Men's hair cut,JJ,60,0
2018-04-24,20180424,April,BERI01,SHCM,Men's hair cut,JJ,60,0
2018-04-24,20180424,April,KATM01,SHCW,Women's hair cut,JJ,82,0
2018-04-24,20180424,April,LEVL01,SHCW,Women's hair cut,JJ,82,0
2018-04-25,20180425,April,ZUGL01,SBD,Blowdry,SINEAD,30,0
2018-04-25,20180425,April,WRI*01,SHCM,Men's hair cut,SINEAD,35,0
2018-04-25,20180425,April,SLUS01,SHCM,Men's hair cut,JJ,40,0
2018-04-25,20180425,April,STOV01,SHCM,Men's hair cut,JJ,40,0
2018-04-25,20180425,April,BOYL01,CMT,Color mini touch up,SINEAD,45,0
2018-04-25,20180425,April,ROLD01,SHCM,Men's hair cut,JJ,49.48,1
2018-04-25,20180425,April,BOYL01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-25,20180425,April,YOUS01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-25,20180425,April,HILE01,SHCW,Women's hair cut,JJ,82,0
2018-04-25,20180425,April,MCGA01,SHCW,Women's hair cut,JJ,82,0
2018-04-25,20180425,April,RUTM01,SHCW,Women's hair cut,JJ,82,0
2018-04-26,20180426,April,RODP01,TRE 1,Treatments 1,SINEAD,20,0
2018-04-26,20180426,April,COLR01,SHCM,Men's hair cut,BECKY,30,0
2018-04-26,20180426,April,RODP01,SBD,Blowdry,SINEAD,30,0
2018-04-26,20180426,April,MOYJ01,SHCM,Men's hair cut,JJ,40,0
2018-04-26,20180426,April,BANR01,SBD,Blowdry,BECKY,40,0
2018-04-26,20180426,April,KUKK01,SBD,Blowdry,SINEAD,45.11,1
2018-04-26,20180426,April,BUSM01,SBD,Blowdry,SINEAD,45.11,1
2018-04-26,20180426,April,NIES02,SHCM,Men's hair cut,JJ,49.48,1
2018-04-26,20180426,April,HOLL01,SBD,Blowdry,SINEAD,50,0
2018-04-26,20180426,April,BROS01,SBD,Blowdry,BECKY,50,0
2018-04-26,20180426,April,MOIB01,CTU,Color touch up,KELLY,52.5,1
2018-04-26,20180426,April,BANR01,CTU,Color touch up,BECKY,55,0
2018-04-26,20180426,April,GALB01,SHCM,Men's hair cut,JJ,60,0
2018-04-26,20180426,April,MOIB01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-26,20180426,April,BUSM01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-26,20180426,April,SMIC01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-26,20180426,April,GREM01,SHCW,Women's hair cut,JJ,82,0
2018-04-26,20180426,April,GELK01,SHCW,Women's hair cut,JJ,82,0
2018-04-26,20180426,April,COLG01,SHCW,Women's hair cut,JJ,82,0
2018-04-26,20180426,April,CARC01,SHCW,Women's hair cut,JJ,82,0
2018-04-27,20180427,April,REIM01,SHCM,Men's hair cut,BECKY,30,0
2018-04-27,20180427,April,ARMG01,SBD,Blowdry,BECKY,30,0
2018-04-27,20180427,April,OZIS01,SBD,Blowdry,BECKY,30,0
2018-04-27,20180427,April,LEWH01,SBD,Blowdry,JJ,32,0
2018-04-27,20180427,April,GRET01,SHCM,Men's hair cut,JJ,40,0
2018-04-27,20180427,April,HARW01,SHCM,Men's hair cut,JJ,40,0
2018-04-27,20180427,April,YATT01,SHCM,Men's hair cut,BECKY,50,0
2018-04-27,20180427,April,KLEA01,SHCM,Men's hair cut,BECKY,50,0
2018-04-27,20180427,April,RANZ01,SHCW,Women's hair cut,BECKY,60,0
2018-04-27,20180427,April,MUMK01,SHCW,Women's hair cut,JJ,75,0
2018-04-27,20180427,April,KM01,SHCW,Women's hair cut,JJ,82,0
2018-04-27,20180427,April,LINM02,SHCW,Women's hair cut,JJ,82,0
2018-04-27,20180427,April,TINA01,SHCW,Women's hair cut,JJ,82,0
2018-04-27,20180427,April,CHEW01,SHCW,Women's hair cut,JJ,102,0
2018-04-27,20180427,April,GOSD01,SHCW,Women's hair cut,JJ,102,0
2018-04-27,20180427,April,SIRM01,SBD5+1,Blow dry bundle 5+1,HOUSE,250,0
2018-04-27,20180427,April,CARC01,CON,Consultation,JJ,0,1
2018-04-28,20180428,April,CULT01,CON,Consultation,SINEAD,0,0
2018-04-28,20180428,April,MCGA02,SHCM,Men's hair cut,SINEAD,35,0
2018-04-28,20180428,April,BISJ01,SBD,Blowdry,JJ,44.55,1
2018-04-28,20180428,April,TAYE01,SHCM,Men's hair cut,JJ,49.48,1
2018-04-28,20180428,April,RODP01,SBD,Blowdry,SINEAD,50,0
2018-04-28,20180428,April,WOOJ01,SBD,Blowdry,SINEAD,50,0
2018-04-28,20180428,April,WONM02,SBD,Blowdry,JJ,52,0
2018-04-28,20180428,April,ROGE01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-28,20180428,April,PHIJ01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-28,20180428,April,WINL01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-28,20180428,April,LEGL01,SHCW,Women's hair cut,SINEAD,74.67,1
2018-04-28,20180428,April,MACB01,SHCW,Women's hair cut,JJ,82,0
2018-04-28,20180428,April,WHIA01,SHCW,Women's hair cut,JJ,82,0
2018-04-28,20180428,April,HOS01,SHCW,Women's hair cut,JJ,82,0
2018-04-28,20180428,April,HUDM01,SHCW,Women's hair cut,JJ,102,0
2018-04-29,20180429,April,WAGL01,SHCW,Women's hair cut,JJ,82,0
2018-04-29,20180429,April,ZHIJ01,SHCW,Women's hair cut,JJ,82,0
2018-05-01,20180501,May,FLAD01,SHCM,Men's hair cut,SINEAD,35,0
2018-05-01,20180501,May,GRIP01,SHCM,Men's hair cut,SINEAD,35,0
2018-05-01,20180501,May,LEHJ01,SHCM,Men's hair cut,JJ,50,0
2018-05-01,20180501,May,HILJ01,SBD,Blowdry,BECKY,50,0
2018-05-01,20180501,May,BROS01,SBD,Blowdry,BECKY,50,0
2018-05-01,20180501,May,CYRA01,SHCW,Women's hair cut,BECKY,60,0
2018-05-01,20180501,May,TAYE01,SHCM,Men's hair cut,JJ,60,0
2018-05-01,20180501,May,KERT01,CALC,Accent lights and color,JJ,70,0
2018-05-01,20180501,May,ALVJ01,SHCW,Women's hair cut,JJ,82,0
